Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-06-02,2191.26,2239.31,2162.4,2239.31,140582020
2019-06-09,2239.12,2287.39,2219.94,2280.6,128373643
2019-06-16,2290.4,2310.66,2263.68,2286.46,123042052
2019-06-23,2286.57,2343.66,2269.87,2308.32,140002883
2019-06-30,2315.79,2347.62,2296.97,2327.67,142360949
2019-07-07,2338.98,2363.21,2310.49,2342.01,100465095
2019-07-14,2337.67,2349.35,2303.2,2315.36,126061681
2019-07-21,2318.56,2348.86,2291.66,2344.03,140252487
2019-07-28,2345.61,2350.82,2299.39,2305.79,100422426
2019-08-04,2307.08,2309.53,2216.51,2216.51,115566806
2019-08-11,2211.89,2211.89,2119.89,2127.61,131971653
2019-08-18,2134.55,2153.16,2055.7,2064.12,96293591
2019-08-25,2078.8,2129.57,2078.8,2103.68,97935543
2019-09-01,2092.33,2136.79,2044.86,2135.25,127873579
2019-09-08,2138.35,2147.13,2088.88,2122.6,101055108
2019-09-15,2124.96,2210.7,2124.96,2200.95,113051815
2019-09-22,2198.63,2217.84,2164.13,2171.75,143070901
2019-09-29,2167.32,2190.53,2139.34,2186.31,91309879
2019-10-06,2188.31,2188.77,2076.45,2121.16,96050091
2019-10-13,2126.9,2160.85,2110.11,2159.91,84109951
2019-10-20,2162.23,2181.94,2143.33,2164.75,95856930
2019-10-27,2164.82,2216.33,2160.39,2175.27,88529370
2019-11-03,2175.3,2236.95,2175.3,2194.1,87634297
2019-11-10,2208.61,2279.64,2208.61,2255.46,129336731
2019-11-17,2259.75,2266.23,2223.56,2233.87,96476070
2019-11-24,2239.37,2244.64,2164.04,2188.24,98573386
2019-12-01,2191.79,2204.09,2154.94,2158.94,121534701
2019-12-08,2163.48,2168.85,2055.68,2073.11,136175642
2019-12-15,2073.42,2123.34,2034.48,2106.51,116090123
2019-12-22,2107.39,2139.47,2104.16,2128.04,164252336
2019-12-29,2128.71,2167.47,2124.87,2151.74,27170607
2020-01-05,2151.48,2200.57,2147.58,2173.97,53038415
2020-01-12,2171.72,2176.8,2114.24,2167.91,76680468
2020-01-19,2170.86,2194.88,2147.94,2175.95,114740895
2020-01-26,2178.31,2183.84,2141.62,2154.28,102191421
2020-02-02,2141.68,2141.68,2052.68,2065.9,125545429
2020-02-09,2062.33,2138.87,2050.91,2110.2,121948296
2020-02-16,2108.67,2132.78,2087.72,2115.29,98873992
2020-02-23,2125.14,2131.6,2084.55,2088.53,86581469
2020-03-01,2070.66,2070.66,1735.37,1768.91,194454983
2020-03-08,1807.25,1906.87,1749.7,1764.81,167345130
2020-03-15,1685.28,1697.38,1305.73,1365.97,256098479
2020-03-22,1342.4,1547.74,1248.77,1488.42,385532275
2020-03-29,1461.22,1505.79,1400.71,1475.9,198776120
2020-04-05,1482.1,1523.49,1443.16,1506.48,222516445
2020-04-12,1534.81,1655.29,1534.81,1615.72,216625015
2020-04-19,1631.5,1673.58,1589.83,1625.59,182187570
2020-04-26,1629.69,1643.87,1554.34,1601.91,151656021
2020-05-03,1614.29,1682.13,1579.94,1648.68,153840043
2020-05-10,1630.24,1630.24,1559.06,1606.5,117962813
2020-05-17,1614.21,1634.77,1559.52,1572.55,116665013
2020-05-24,1585.92,1662.2,1585.92,1630.44,120090212
2020-05-31,1639.26,1763.02,1634.34,1722.65,266340064
2020-06-07,1733.13,1847.95,1722.5,1842.47,254891456
2020-06-14,1842.22,1856.66,1754.16,1788.83,300871857
2020-06-21,1767.35,1812.65,1735.27,1807.85,373800038
2020-06-28,1805.25,1847.33,1759.21,1759.43,188381625
2020-07-05,1758.46,1812.22,1739.93,1800.96,148570812
2020-07-12,1820.81,1833.77,1772.5,1797.27,104033249
2020-07-19,1806.55,1814.47,1763.64,1796.04,143810711
2020-07-26,1795.09,1884.22,1789.04,1810.33,177042932
2020-08-02,1811.4,1841.46,1762.74,1767.54,163669218
2020-08-09,1769.31,1844.2,1768.56,1817.23,106334516
2020-08-16,1822.48,1881.46,1812.95,1856.56,83109310
2020-08-23,1856.46,1865.94,1811.88,1820.6,72735814
2020-08-30,1830.14,1858.14,1815.16,1829.79,69371002
2020-09-06,1832.66,1839.06,1743.89,1758.11,142234183
2020-09-13,1765.37,1783.39,1720.07,1772.89,106083766
2020-09-20,1783.55,1787.9,1714.95,1731.76,160521496
2020-09-27,1724.89,1753.5,1657.57,1674.14,177977257
2020-10-04,1686.57,1738.44,1675.2,1697.39,125621660
2020-10-11,1710.14,1749.28,1679.01,1698.91,120023884
2020-10-18,1701.76,1707.3,1625.1,1655.36,154093003
2020-10-25,1663.75,1681.74,1627.13,1645.32,156553451
2020-11-01,1635.49,1653.11,1496.76,1515.97,167109955
2020-11-08,1526.2,1702.98,1526.2,1697.49,169629034
2020-11-15,1707.52,1794.79,1697.78,1749.41,193053017
2020-11-22,1764.1,1821.3,1764.1,1820.85,165637940
2020-11-29,1835.53,1873.96,1823.32,1852.69,119121598
2020-12-06,1845.96,1952.28,1817.83,1947.68,182912763
2020-12-13,1949.61,2023.91,1926.87,1950.85,202560745
2020-12-20,1956.48,2014.44,1916.03,1952.54,200927442
2020-12-27,1929.14,1958.16,1851.23,1955.84,78334945
2021-01-03,1969.45,2033.03,1969.45,1983.98,67420606
2021-01-10,1994.28,2095.67,1991.46,2072.74,140038367
2021-01-17,2067.33,2100.33,1969.41,1985.68,150997981
2021-01-24,1985.59,2047.11,1934.61,1952.67,138643343
2021-01-31,1961.37,1998.12,1885.24,1948.01,166803068
2021-02-07,1960.96,1981.43,1924.95,1957.73,112500312
2021-02-14,1970.16,1975.67,1910.15,1937.07,93804769
2021-02-21,1946.97,2022.16,1946.97,1985.31,141258440
2021-02-28,1978.7,1978.7,1888.55,1907.28,169900372
2021-03-07,1925.94,1989.78,1914.5,1939.59,145227128
2021-03-14,1950.85,2020.76,1944.49,2006.11,139086145
2021-03-21,2012.38,2029.17,1912.98,1927.56,210533359
2021-03-28,1921.5,1949.37,1868.06,1918.71,141401206
2021-04-04,1922.29,1969.48,1922.29,1954.38,105191359
2021-04-11,1965.18,2012.87,1964.05,1975.11,122593949
2021-04-18,1975.05,2026.55,1961.61,2012.27,163085757
2021-04-25,2016.04,2039.72,1961.71,1986.63,124090765
2021-05-02,1994.54,2081.94,1978.87,2037.59,154333535
2021-05-09,2046.24,2099.19,1999.81,2097.31,98144044
2021-05-16,2115.79,2142.57,2049.81,2092.8,154690939
2021-05-23,2102.62,2154.13,2100.73,2139.06,139917801
2021-05-30,2138.36,2237.01,2127.3,2236.31,154692770
2021-06-06,2237.25,2268.18,2226.59,2254.59,89636268
2021-06-13,2254.62,2273.28,2210.07,2224.67,107217095
2021-06-20,2229.99,2269.21,2203.47,2220.68,132836180
2021-06-27,2210.86,2291.37,2189.24,2282.46,82936443
2021-07-04,2280.67,2293.02,2218.41,2252.18,106717753
2021-07-11,2255.07,2292.49,2228.46,2251.78,88560974
2021-07-18,2253.56,2281.76,2244.1,2258.1,80251546
2021-07-25,2254.48,2254.48,2196.01,2242.41,80325327
2021-08-01,2249.57,2268.3,2214.24,2253.45,75863766
2021-08-08,2261.61,2280.65,2248.02,2273.89,70116901
2021-08-15,2271.56,2302.1,2261.47,2302.03,67400487
2021-08-22,2289.95,2301.58,2240.78,2255.56,73598623
2021-08-29,2264.45,2326.62,2264.45,2323.77,72837568
2021-09-05,2324.67,2393.71,2324.67,2380.82,96031190
2021-09-12,2379.29,2416.38,2341.53,2360.7,79110770
2021-09-19,2365.69,2387.74,2326.12,2333.01,138066832
2021-09-26,2316.96,2353.45,2259.28,2299.18,104657229
2021-10-03,2308.17,2332.78,2270.88,2327.88,103947720
2021-10-10,2325.08,2415.15,2306.16,2411.12,126596906
2021-10-17,2413.12,2478.55,2409.01,2453.98,167697405
