Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D,Target,TargetClass,TargetNextClose
2019-06-03,2239.12,2248.09,2227.89,2237.71,15759707.0,50.92893892483566,89.08517350157722,2196.615,2290.0932,11.193165731117826,-15534293.513537042,-3.9899999999997817,0,2233.75
2019-06-04,2237.74,2242.52,2222.32,2233.75,18733701.0,49.933506591355695,83.76174838636604,2201.227142857143,2287.7316,11.581538723514246,-13067380.411556955,-13.960000000000036,0,2223.27
2019-06-05,2237.23,2242.22,2219.94,2223.27,27022940.0,47.298709432900544,71.89446268825708,2203.715714285714,2285.0166,10.812415899292263,-32012547.50311898,36.74000000000024,1,2260.94
2019-06-06,2224.2,2272.07,2222.81,2260.94,43220594.0,56.23745733206363,90.08816457387113,2209.1864285714287,2283.8534,12.406292640853604,-8322818.7576866895,20.079999999999927,1,2280.6
2019-06-07,2260.52,2287.39,2260.52,2280.6,23636701.0,60.046235832155816,94.56756540523244,2216.692857142857,2283.2096,14.22006550297036,3367979.76445698,-7.889999999999873,0,2282.51
2019-06-10,2290.4,2296.33,2271.09,2282.51,18082030.0,60.40676359189162,89.68117673411504,2223.2342857142858,2282.3616,14.911410084337176,1648610.826263882,11.699999999999818,1,2295.6
2019-06-11,2283.9,2300.92,2275.67,2295.6,29044984.0,62.87900875301413,96.15939936471256,2229.037142857143,2281.9702,15.542492300663092,18454441.17240212,-7.949999999999818,0,2282.8
2019-06-12,2290.75,2292.41,2263.68,2282.8,29303418.0,58.999524021755626,86.91885648281844,2236.8735714285717,2281.3508,14.41505706134778,28154249.915180385,17.480000000000018,1,2300.2
2019-06-13,2282.72,2310.66,2277.12,2300.2,26105922.0,62.39598435515149,92.94482665587478,2244.8735714285717,2281.113,14.138957783608872,37977050.62001036,-12.570000000000164,0,2286.46
2019-06-14,2299.03,2299.09,2283.94,2286.46,20505698.0,58.28967689398531,83.6773236206665,2251.787857142857,2280.0274,12.391425377750735,24293050.17248552,-9.970000000000255,0,2276.6
2019-06-17,2286.57,2290.79,2269.87,2276.6,20062371.0,55.46858782229511,77.02684473222718,2257.768571428572,2278.1366,10.032605700609238,17138877.722198702,47.63999999999987,1,2325.16
2019-06-18,2277.52,2325.16,2272.26,2325.16,36181816.0,64.5645650589485,100.0,2267.605,2276.4872,11.119657812118486,53320693.7221987,-6.849999999999909,0,2319.71
2019-06-19,2326.56,2327.46,2316.84,2319.71,22041318.0,63.00900065593291,94.1509433962264,2274.615714285714,2275.1096,10.837394562949347,43192479.801294416,-15.83999999999969,0,2308.32
2019-06-21,2324.16,2343.66,2302.71,2308.32,61717378.0,59.76803343834017,71.43549951503415,2279.545,2274.2544,9.307890142227704,-1614788.7686684951,15.289999999999964,1,2331.08
2019-06-24,2315.79,2332.8,2311.55,2331.08,19030821.0,63.77747580181158,89.83187843517625,2286.214285714286,2273.6856,9.234976922320104,14335278.149448697,-25.679999999999836,0,2303.31
2019-06-25,2328.99,2328.99,2296.97,2303.31,29021864.0,56.392901587414784,67.38603297769158,2291.182857142857,2272.395,6.833094146537386,-3193855.197209375,8.190000000000055,1,2317.17
2019-06-26,2308.98,2318.68,2300.51,2317.17,37539552.0,58.947761046261405,78.08026479106347,2297.8900000000003,2270.9024000000004,5.738524377776033,28106321.62172378,19.40000000000009,1,2335.13
2019-06-27,2315.73,2347.62,2315.73,2335.13,37401033.0,62.050489634250624,85.66016073478784,2303.1892857142857,2270.1056,5.769305394734534,36210465.17863856,-4.960000000000036,0,2327.67
2019-06-28,2332.63,2335.26,2323.55,2327.67,19367679.0,60.02126890496606,76.23302358827758,2306.5514285714285,2269.3248,4.868426462492369,30471281.051396485,-9.240000000000236,0,2329.74
2019-07-01,2338.98,2363.21,2326.49,2329.74,21199057.0,60.40817520163098,66.37194815633458,2309.925,2268.7558,4.027912893096609,13024780.437562035,6.4900000000002365,1,2341.09
